Letter,WeightQuarter1,WeightQuarter2,WeightQuarter3,WeightQuarter4,NormWeightQuarter1,NormWeightQuarter2,NormWeightQuarter3,NormWeightQuarter4,TotalNormWeight,XWeightCenter,YWeightCenter,XNormWeightCenter,YNormWeightCenter,XAxisMomentum,YAxisMomentum,XNormAxisMomentum,YNormAxisMomentum
א,486,389,382,414,0.52,0.42,0.41,0.45,0.45,27.73,30.24,0.45,0.48,479585.28,486315.29,0.17,0.17
ב,283,361,261,503,0.3,0.39,0.28,0.54,0.38,30.99,34.02,0.53,0.52,310113.98,708667.68,0.16,0.36
ג,126,353,244,400,0.2,0.55,0.38,0.62,0.44,23.48,33.29,0.58,0.51,99868.34,428941.46,0.08,0.34
ד,270,501,0,341,0.32,0.6,0.0,0.41,0.33,32.42,20.45,0.59,0.32,173630.08,400234.78,0.14,0.32
ה,299,435,341,310,0.35,0.5,0.39,0.36,0.4,28.21,28.2,0.51,0.43,500042.44,545931.2,0.26,0.28
ו,155,155,155,155,1.0,1.0,1.0,1.0,1.0,4.5,30.5,0.39,0.48,5115.0,198555.0,0.01,0.52
ז,382,244,295,44,0.65,0.41,0.5,0.07,0.41,16.19,23.02,0.41,0.36,54042.44,350103.51,0.06,0.38
ח,499,423,341,310,0.58,0.49,0.39,0.36,0.46,24.63,27.21,0.45,0.42,585678.4,561250.71,0.24,0.23
ט,378,438,412,411,0.45,0.53,0.5,0.49,0.49,25.56,31.62,0.48,0.49,502454.19,623428.19,0.19,0.23
י,80,80,75,75,1.0,1.0,0.94,0.94,0.97,4.5,15.0,0.39,0.45,2557.5,24800.0,0.03,0.26
כ,216,347,202,356,0.31,0.49,0.29,0.51,0.4,24.99,31.59,0.56,0.49,173205.79,519387.78,0.14,0.41
ך,249,516,0,430,0.23,0.47,0.0,0.39,0.27,35.24,33.13,0.7,0.37,204623.63,866665.94,0.14,0.61
מ,525,445,380,472,0.57,0.48,0.41,0.51,0.49,29.45,30.64,0.5,0.47,592505.85,708078.33,0.18,0.21
ם,499,422,485,454,0.58,0.49,0.56,0.53,0.54,24.91,31.98,0.45,0.49,610979.45,793619.38,0.18,0.23
נ,139,326,135,346,0.29,0.68,0.28,0.72,0.49,18.1,32.08,0.59,0.49,57266.26,423902.53,0.06,0.47
ן,215,215,215,215,1.0,1.0,1.0,1.0,1.0,4.5,42.5,0.39,0.49,7095.0,529975.0,0.01,0.72
ס,423,424,432,432,0.46,0.46,0.47,0.47,0.46,28.72,31.91,0.49,0.49,561434.02,650576.04,0.19,0.22
ע,381,355,491,336,0.42,0.39,0.53,0.37,0.43,27.79,34.64,0.51,0.5,355461.43,590372.76,0.15,0.24
פ,535,411,359,416,0.62,0.48,0.42,0.48,0.5,25.96,30.21,0.47,0.46,476588.99,688957.28,0.16,0.23
ף,691,543,0,430,0.6,0.47,0.0,0.38,0.36,29.84,31.5,0.57,0.35,530918.08,931770.0,0.19,0.34
צ,361,379,229,459,0.47,0.49,0.3,0.59,0.46,27.41,32.05,0.54,0.51,229513.35,552705.87,0.11,0.27
ץ,432,499,215,258,0.42,0.48,0.21,0.25,0.34,25.59,34.83,0.52,0.4,168473.33,805340.32,0.09,0.41
ק,415,616,473,223,0.39,0.57,0.44,0.21,0.4,22.07,34.62,0.43,0.4,441887.08,1075243.38,0.15,0.36
ר,248,400,0,310,0.31,0.5,0.0,0.39,0.3,33.19,22.67,0.66,0.34,182091.56,342164.41,0.2,0.37
ש,576,496,589,452,0.5,0.43,0.51,0.39,0.46,34.35,31.17,0.47,0.48,1035492.14,692645.41,0.23,0.16
ת,544,476,465,310,0.52,0.45,0.44,0.29,0.42,33.99,28.05,0.51,0.43,698193.98,722921.79,0.22,0.22
ל,483,320,34,444,0.49,0.32,0.03,0.45,0.32,23.39,38.46,0.5,0.44,237685.72,627766.26,0.14,0.38
